0,0,0
ANTM,C,ABC
LFC,C,ANTM
MSFT,C,BA
ABC,C,CAH
AMZN,C,COST
BA,C,CVX
CAH,C,F
COST,C,FCAU
CVX,ANTM,GM
F,E,HD
FCAU,LFC,HMC
GM,C,KR
HD,C,LFC
HMC,C,MPC
KR,C,PBR
MCK,C,PSX
MPC,C,T
PBR,C,TOT
PSX,AMZN,VLO
T,MCK,VZ
TOT,UNH,WBA
UNH,C,GOOGL
VLO,C,ABC
VZ,AAL,ANTM
WBA,ABB,BA
ANTM,ABBV,CAH
LFC,ABT,COST
GOOGL,ACH,CVX
GOOGL,ACN,FCAU
MSFT,ADM,GM
ABC,AEG,GOOGL
AMZN,ALL,HD
BA,AMGN,HMC
CAH,AMOV,KR
COST,ARW,LFC
CVX,AVGO,MPC
F,AZN,MSFT
FCAU,BABA,PBR
GM,BAM,PSX
GOOGL,BBU,VLO
HD,BBY,VZ
HMC,BG,WBA
KR,BTI,ABC
MCK,BUD,ANTM
MPC,CAJ,BA
PSX,CAT,CAH
T,CB,COST
TOT,CEO,CVX
UNH,CHU,F
VLO,CI,FCAU
VZ,CMI,GM
WBA,CNC,GOOGL
ANTM,CNHI,HD
LFC,COP,HMC
MSFT,CRH,KR
PBR,CSCO,LFC
GOOGL,DAL,MPC
GOOGL,DE,MSFT
MSFT,DG,PBR
ABC,DIS,PSX
AMZN,DUK,T
BA,ENB,TOT
CAH,EPD,VLO
COST,EXC,VZ
CVX,FDX,WBA
F,FLEX,GOOGL
FCAU,FMX,MSFT
GM,GD,GOOGL
HMC,GSK,AMZN
KR,HAL,MCK
MCK,HCA,UNH
MPC,HNP,GOOGL
PSX,HON,ABC
T,HPE,ANTM
TOT,HPQ,BA
UNH,HSBC,CAH
VLO,HUM,COST
VZ,IBM,CVX
WBA,IMO,F
ABC,INT,FCAU
AMZN,INTC,GM
ANTM,INTL,GOOGL
BA,IP,HD
CAH,IX,HMC
COST,JCI,KR
CVX,KO,LFC
F,LLY,MPC
FCAU,LOW,MSFT
GM,LYB,PBR
HD,LYG,PSX
HMC,M,T
KR,MCD,TOT
LFC,MDLZ,VLO
MCK,MDT,VZ
MPC,MET,WBA
MSFT,MFC,AMZN
PBR,MGA,MCK
PSX,MMM,UNH
T,MO,AMZN
TOT,MRK,MCK
UNH,MT,UNH
VLO,MU,AMZN
VZ,NEE,MCK
WBA,NKE,UNH
GOOGL,NOC,AMZN
MSFT,NUE,MCK
ABC,NVS,UNH
