0,0,0
ANTM,C,GOOGL
LFC,C,ABC
MSFT,C,ANTM
PBR,C,BA
GOOGL,C,CAH
MSFT,GOOGL,COST
GOOGL,RY,CVX
GOOGL,C,F
MSFT,C,FCAU
ANTM,C,GM
LFC,C,GOOGL
ANTM,C,HD
HD,C,HMC
LFC,C,KR
MSFT,C,LFC
PBR,C,MPC
GOOGL,MCK,MSFT
GOOGL,C,PBR
MSFT,C,PSX
ABC,C,T
AMZN,C,TOT
BA,C,VLO
CAH,AMZN,VZ
COST,MCK,WBA
CVX,UNH,GOOGL
F,C,GOOGL
FCAU,SNP,AMZN
GM,WMT,MCK
GOOGL,C,UNH
HD,GOOGL,GOOGL
HMC,RY,AMZN
KR,ANTM,MCK
MCK,E,UNH
MPC,LFC,AMZN
PSX,MSFT,MCK
T,PBR,UNH
TOT,ABC,AMZN
UNH,BA,MCK
VLO,CAH,UNH
VZ,COST,GOOGL
WBA,CVX,AMZN
GOOGL,F,MCK
MSFT,FCAU,UNH
ABC,GM,AMZN
ANTM,GOOGL,MCK
BA,HD,UNH
CAH,HMC,ABC
COST,KR,ANTM
CVX,MPC,BA
F,PSX,CAH
FCAU,T,COST
GM,TOT,CVX
GOOGL,VLO,FCAU
HD,VZ,GM
HMC,WBA,GOOGL
KR,ABC,HD
LFC,BA,HMC
MCK,CAH,KR
MPC,COST,LFC
MSFT,CVX,MPC
PBR,F,MSFT
PSX,FCAU,PBR
T,GM,PSX
TOT,HD,VLO
VLO,HMC,VZ
VZ,KR,WBA
WBA,MPC,AMZN
GOOGL,PBR,MCK
ANTM,PSX,UNH
LFC,T,GOOGL
ABC,TOT,ABC
AMZN,VLO,ANTM
BA,VZ,BA
CAH,WBA,CAH
COST,C,COST
CVX,GOOGL,CVX
F,RY,F
FCAU,C,FCAU
GM,ABC,GM
GOOGL,BA,GOOGL
HD,CAH,HD
HMC,COST,HMC
KR,CVX,KR
MCK,F,LFC
MPC,FCAU,MPC
PSX,GM,MSFT
T,GOOGL,PBR
TOT,HD,PSX
UNH,HMC,T
VLO,KR,TOT
VZ,MPC,VLO
WBA,PSX,VZ
GOOGL,T,WBA
MSFT,TOT,AMZN
GOOGL,VLO,MCK
MSFT,VZ,UNH
GOOGL,WBA,ABC
ABC,C,ANTM
AMZN,C,BA
BA,C,CAH
CAH,C,COST
COST,AMZN,CVX
CVX,MCK,F
F,UNH,FCAU
FCAU,C,GM
GM,C,GOOGL
GOOGL,C,HD
HD,GOOGL,HMC
HMC,RY,KR
KR,C,LFC
MCK,C,MPC
MPC,AAL,MSFT
PSX,ADM,PBR
T,AMOV,PSX
TOT,ANTM,T
UNH,BA,TOT
VLO,BAM,VLO
VZ,BUD,VZ
WBA,CAT,WBA
ABC,CI,AMZN
AMZN,CNC,MCK
BA,DIS,UNH
CAH,E,ABC
COST,FDX,ANTM
CVX,HCA,BA
F,HD,CAH
FCAU,HPQ,COST
GM,HSBC,CVX
HMC,HUM,F
KR,IBM,FCAU
MCK,INTC,GM
MPC,LFC,GOOGL
PSX,LOW,HD
T,MET,HMC
TOT,MPC,KR
UNH,MSFT,LFC
VLO,MT,MPC
VZ,NVS,MSFT
WBA,PBR,PBR
GOOGL,PEP,PSX
ANTM,PFE,T
LFC,PG,TOT
GOOGL,PKX,VLO
GOOGL,PM,VZ
GOOGL,PRU,WBA
MSFT,SYY,GOOGL
GOOGL,TEF,GOOGL
ABC,TGT,GOOGL
AMZN,UPS,AMZN
BA,UTX,MCK
CAH,VOD,UNH
COST,C,AMZN
CVX,C,MCK
